"ident","source","translate","context"
"ident1","source1","переклад1","context"
"ident2","source2","переклад2","context"
"ident3","source3","переклад3","context"
"ident4","source4","переклад4","context"
"ident5","source5","переклад5","context"
"ident6","source6","переклад6","context"
"ident7","source7","переклад7","context"
"ident8","source8","переклад8","context"
"ident9","source9","переклад9","context"
"ident10","source10","переклад10","context"
"ident11","source11","переклад11","context"
"ident12","source12","переклад12","context"
"ident13","source13","переклад13","context"
"ident14","source14","переклад14","context"
"ident15","source15","переклад15","context"
"ident16","source16","переклад16","context"
"ident17","source17","переклад17","context"
"ident18","source18","переклад18","context"
"ident19","source19","переклад19","context"
"ident20","source20","переклад20","context"
