"ident","source","context","max_length","it","uk"
"ident1","source1","context","20","source1","переклад1"
"ident2","source2","context","20","source2","переклад2"
"ident3","source3","context","20","source3","переклад3"
"ident4","source4","context","20","source4","переклад4"
"ident5","source5","context","20","source5","переклад5"
"ident6","source6","context","20","source6","переклад6"
"ident7","source7","context","20","source7","переклад7"
"ident8","source8","context","20","source8","переклад8"
"ident9","source9","context","20","source9","переклад9"
"ident10","source10","context","20","source10","переклад10"
"ident11","source11","context","20","source11","переклад11"
"ident12","source12","context","20","source12","переклад12"
"ident13","source13","context","20","source13","переклад13"
"ident14","source14","context","20","source14","переклад14"
"ident15","source15","context","20","source15","переклад15"
"ident16","source16","context","20","source16","переклад16"
"ident17","source17","context","20","source17","переклад17"
"ident18","source18","context","20","source18","переклад18"
"ident19","source19","context","20","source19","переклад19"
"ident20","source20","context","10","source20","переклад20"
